mode: set
web-development-go/forms.go:16.48,18.2 1 1
web-development-go/middlewares.go:51.71,53.14 2 0
web-development-go/middlewares.go:53.14,56.4 2 0
web-development-go/middlewares.go:58.3,59.36 2 0
web-development-go/middlewares.go:59.36,63.4 3 0
web-development-go/middlewares.go:63.9,63.24 1 0
web-development-go/middlewares.go:63.24,66.4 2 0
web-development-go/middlewares.go:68.3,70.40 3 0
web-development-go/middlewares.go:74.63,76.9 2 0
web-development-go/middlewares.go:76.9,78.3 1 0
web-development-go/middlewares.go:79.2,79.15 1 0
web-development-go/post_repository.go:48.35,49.45 1 0
web-development-go/post_repository.go:49.45,51.3 1 0
web-development-go/post_repository.go:53.2,53.42 1 0
web-development-go/post_repository.go:53.42,55.3 1 0
web-development-go/post_repository.go:57.2,57.12 1 0
web-development-go/post_repository.go:70.67,71.23 1 0
web-development-go/post_repository.go:71.23,73.3 1 0
web-development-go/post_repository.go:75.2,86.40 4 0
web-development-go/post_repository.go:86.40,88.3 1 0
web-development-go/post_repository.go:89.2,89.39 1 0
web-development-go/post_repository.go:89.39,91.3 1 0
web-development-go/post_repository.go:93.2,93.13 1 0
web-development-go/post_repository.go:110.58,114.2 1 0
web-development-go/post_repository.go:116.84,120.16 3 0
web-development-go/post_repository.go:120.16,121.76 1 0
web-development-go/post_repository.go:121.76,123.4 1 0
web-development-go/post_repository.go:124.3,124.16 1 0
web-development-go/post_repository.go:127.2,128.16 2 0
web-development-go/post_repository.go:128.16,130.3 1 0
web-development-go/post_repository.go:132.2,132.25 1 0
web-development-go/post_repository.go:135.86,139.16 3 0
web-development-go/post_repository.go:139.16,141.3 1 0
web-development-go/post_repository.go:143.2,144.16 2 0
web-development-go/post_repository.go:144.16,146.3 1 0
web-development-go/post_repository.go:148.2,148.28 1 0
web-development-go/post_repository.go:151.63,155.16 3 0
web-development-go/post_repository.go:155.16,156.130 1 0
web-development-go/post_repository.go:156.130,158.4 1 0
web-development-go/post_repository.go:160.3,160.13 1 0
web-development-go/post_repository.go:163.2,163.12 1 0
web-development-go/post_repository.go:166.60,194.16 5 0
web-development-go/post_repository.go:194.16,196.3 1 0
web-development-go/post_repository.go:198.2,198.19 1 0
web-development-go/post_repository.go:201.77,202.42 1 0
web-development-go/post_repository.go:202.42,204.3 1 0
web-development-go/post_repository.go:206.2,222.24 4 0
web-development-go/post_repository.go:222.24,226.3 3 0
web-development-go/post_repository.go:228.2,229.33 2 0
web-development-go/post_repository.go:229.33,231.3 1 0
web-development-go/post_repository.go:231.8,233.3 1 0
web-development-go/post_repository.go:235.2,241.16 6 0
web-development-go/post_repository.go:241.16,243.3 1 0
web-development-go/post_repository.go:244.2,249.18 4 0
web-development-go/post_repository.go:249.18,262.17 3 0
web-development-go/post_repository.go:262.17,264.4 1 0
web-development-go/post_repository.go:265.3,266.30 2 0
web-development-go/post_repository.go:269.2,269.35 1 0
web-development-go/post_repository.go:269.35,271.3 1 0
web-development-go/post_repository.go:273.2,273.21 1 0
web-development-go/post_repository.go:273.21,275.3 1 0
web-development-go/post_repository.go:277.2,278.29 2 0
web-development-go/post_repository.go:281.72,291.16 3 0
web-development-go/post_repository.go:291.16,293.3 1 0
web-development-go/post_repository.go:294.2,297.18 3 0
web-development-go/post_repository.go:297.18,307.17 3 0
web-development-go/post_repository.go:307.17,309.4 1 0
web-development-go/post_repository.go:311.3,311.39 1 0
web-development-go/post_repository.go:314.2,314.35 1 0
web-development-go/post_repository.go:314.35,316.3 1 0
web-development-go/post_repository.go:318.2,318.24 1 0
web-development-go/post_repository.go:318.24,320.3 1 0
web-development-go/post_repository.go:322.2,322.22 1 0
web-development-go/post_repository.go:325.44,326.21 1 0
web-development-go/post_repository.go:326.21,328.3 1 0
web-development-go/post_repository.go:330.2,330.44 1 0
web-development-go/post_repository.go:333.47,334.24 1 0
web-development-go/post_repository.go:334.24,336.3 1 0
web-development-go/post_repository.go:338.2,338.50 1 0
web-development-go/post_repository.go:341.40,343.2 1 0
web-development-go/post_repository.go:345.30,347.16 2 0
web-development-go/post_repository.go:347.16,349.3 1 0
web-development-go/post_repository.go:351.2,351.22 1 0
web-development-go/render.go:7.109,8.19 1 0
web-development-go/render.go:8.19,11.3 2 0
web-development-go/render.go:13.2,13.62 1 0
web-development-go/render.go:16.96,17.17 1 0
web-development-go/render.go:17.17,19.3 1 0
web-development-go/render.go:21.2,24.13 3 0
web-development-go/renderer.go:30.78,36.2 1 0
web-development-go/renderer.go:38.97,40.16 2 0
web-development-go/renderer.go:40.16,43.3 2 0
web-development-go/renderer.go:45.2,46.16 2 0
web-development-go/renderer.go:46.16,49.3 2 0
web-development-go/renderer.go:52.89,53.16 1 0
web-development-go/renderer.go:53.16,58.9 4 0
web-development-go/renderer.go:58.9,60.4 1 0
web-development-go/renderer.go:63.2,64.16 2 0
web-development-go/renderer.go:64.16,66.3 1 0
web-development-go/renderer.go:68.2,68.16 1 0
web-development-go/renderer.go:68.16,72.3 3 0
web-development-go/renderer.go:74.2,74.18 1 0
web-development-go/renderer.go:77.91,84.16 5 0
web-development-go/renderer.go:84.16,86.3 1 0
web-development-go/renderer.go:88.2,90.16 3 0
web-development-go/renderer.go:90.16,92.3 1 0
web-development-go/renderer.go:94.2,95.16 2 0
web-development-go/renderer.go:95.16,97.3 1 0
web-development-go/renderer.go:99.2,99.18 1 0
web-development-go/routes.go:9.47,27.2 14 0
web-development-go/server.go:8.39,17.2 2 0
web-development-go/user_repository.go:25.54,29.2 1 1
web-development-go/user_repository.go:31.96,35.16 3 1
web-development-go/user_repository.go:35.16,37.3 1 0
web-development-go/user_repository.go:39.2,42.16 3 1
web-development-go/user_repository.go:42.16,44.3 1 0
web-development-go/user_repository.go:45.2,48.16 3 1
web-development-go/user_repository.go:48.16,50.3 1 1
web-development-go/user_repository.go:52.2,53.16 2 1
web-development-go/user_repository.go:53.16,55.3 1 0
web-development-go/user_repository.go:57.2,58.16 2 1
web-development-go/user_repository.go:58.16,60.3 1 0
web-development-go/user_repository.go:62.2,63.16 2 1
web-development-go/user_repository.go:63.16,65.3 1 0
web-development-go/user_repository.go:67.2,69.16 3 1
web-development-go/user_repository.go:69.16,71.3 1 0
web-development-go/user_repository.go:72.2,73.16 2 1
web-development-go/user_repository.go:73.16,75.3 1 0
web-development-go/user_repository.go:76.2,76.25 1 1
web-development-go/user_repository.go:79.73,86.16 5 1
web-development-go/user_repository.go:86.16,88.3 1 0
web-development-go/user_repository.go:89.2,91.19 2 1
web-development-go/user_repository.go:94.79,96.16 2 0
web-development-go/user_repository.go:96.16,98.3 1 0
web-development-go/user_repository.go:100.2,101.16 2 0
web-development-go/user_repository.go:101.16,102.58 1 0
web-development-go/user_repository.go:102.58,104.4 1 0
web-development-go/user_repository.go:105.3,105.16 1 0
web-development-go/user_repository.go:108.2,108.21 1 0
web-development-go/user_repository.go:111.56,116.16 3 0
web-development-go/user_repository.go:116.16,118.3 1 0
web-development-go/user_repository.go:119.2,121.18 3 0
web-development-go/user_repository.go:121.18,129.17 2 0
web-development-go/user_repository.go:129.17,131.4 1 0
web-development-go/user_repository.go:132.3,133.30 2 0
web-development-go/user_repository.go:136.2,136.35 1 0
web-development-go/user_repository.go:136.35,138.3 1 0
web-development-go/user_repository.go:140.2,140.19 1 0
